head_id	relation_id	relation_label	true_tail_id	true_tail_label	true_tail_class_label	pred_tail_id	pred_tail_label	pred_tail_class_label	P21	P27	P172	P140	wrong classification?
Q1274954	P106	occupation	Q28389	screenwriter	8	Q2722764	radio personality	0	Q6581097	-1	-1	-1	yes
Q17512078	P106	occupation	Q82955	politician	1	Q131512	farmer	0	-1	-1	-1	-1	yes
Q2150133	P106	occupation	Q40348	lawyer	3	Q883231	law clerk	0	-1	-1	-1	-1	yes
Q2713565	P106	occupation	Q28389	screenwriter	8	Q266569	animator	0	Q6581097	-1	-1	-1	yes
Q28791080	P106	occupation	Q36180	writer	2	Q42973	architect	0	-1	Q30	-1	-1	yes
Q3242404	P106	occupation	Q33999	actor	4	Q1930187	journalist	0	-1	-1	-1	-1	yes
Q332470	P106	occupation	Q82955	politician	1	Q4964182	philosopher	0	Q6581097	-1	-1	-1	yes
Q332470	P106	occupation	Q36180	writer	2	Q4964182	philosopher	0	Q6581097	-1	-1	-1	yes
Q354241	P106	occupation	Q36180	writer	2	Q1050607	caretaker manager	0	-1	-1	-1	-1	yes
Q354241	P106	occupation	Q33999	actor	4	Q1050607	caretaker manager	0	-1	-1	-1	-1	yes
Q366328	P106	occupation	Q49757	poet	6	Q4964182	philosopher	0	-1	-1	-1	-1	yes
Q366328	P106	occupation	Q82955	politician	1	Q4964182	philosopher	0	-1	-1	-1	-1	yes
Q379923	P106	occupation	Q6625963	novelist	7	Q744738	encyclopédistes	0	-1	Q142	-1	-1	yes
Q379923	P106	occupation	Q36180	writer	2	Q744738	encyclopédistes	0	-1	Q142	-1	-1	yes
Q4228038	P106	occupation	Q937857	association football player	5	Q628099	association football manager	0	-1	Q22	-1	-1	yes
Q58793	P106	occupation	Q36180	writer	2	Q4773904	anthropologist	0	-1	-1	-1	-1	yes
Q611182	P106	occupation	Q40348	lawyer	3	Q5178440	court reporter	0	Q6581097	-1	-1	-1	yes
Q611182	P106	occupation	Q82955	politician	1	Q5178440	court reporter	0	Q6581097	-1	-1	-1	yes
Q6780980	P106	occupation	Q40348	lawyer	3	Q883231	law clerk	0	-1	Q30	-1	-1	yes
Q6850043	P106	occupation	Q82955	politician	1	Q188094	economist	0	Q6581097	-1	-1	-1	yes
Q7825274	P106	occupation	Q36180	writer	2	Q1568338	technical writer	0	Q6581097	-1	-1	-1	yes
Q804182	P106	occupation	Q82955	politician	1	Q876864	contributing editor	0	-1	-1	-1	-1	yes
Q3172990	P106	occupation	Q40348	lawyer	3	Q82955	politician	1	-1	-1	-1	-1	yes
Q3172990	P106	occupation	Q2722764	radio personality	0	Q82955	politician	1	-1	-1	-1	-1	yes
Q318462	P106	occupation	Q49757	poet	6	Q82955	politician	1	-1	Q174193	-1	-1	yes
Q405463	P106	occupation	Q40348	lawyer	3	Q82955	politician	1	Q6581097	-1	-1	-1	yes
Q405463	P106	occupation	Q47064	military personnel	0	Q82955	politician	1	Q6581097	-1	-1	-1	yes
Q4720002	P106	occupation	Q40348	lawyer	3	Q82955	politician	1	-1	-1	-1	-1	yes
Q971395	P106	occupation	Q201788	historian	0	Q82955	politician	1	-1	-1	-1	-1	yes
Q47755	P106	occupation	Q28389	screenwriter	8	Q36180	writer	2	-1	-1	Q7325	-1	yes
Q47755	P106	occupation	Q6625963	novelist	7	Q36180	writer	2	-1	-1	Q7325	-1	yes
Q5541005	P106	occupation	Q82955	politician	1	Q40348	lawyer	3	Q6581097	Q30	-1	-1	yes
Q835766	P106	occupation	Q622807	seiyū	0	Q6625963	novelist	7	-1	-1	-1	-1	yes
Q215610	P106	occupation	Q2526255	film director	0	Q28389	screenwriter	8	Q6581097	Q40	-1	-1	yes
Q215610	P106	occupation	Q482980	author	0	Q28389	screenwriter	8	Q6581097	Q40	-1	-1	yes
Q492743	P106	occupation	Q36180	writer	2	Q28389	screenwriter	8	Q6581097	-1	-1	-1	yes
Q492743	P106	occupation	Q3282637	film producer	0	Q28389	screenwriter	8	Q6581097	-1	-1	-1	yes
Q1067	P106	occupation	Q4964182	philosopher	0	Q670152	Germanophile	0	-1	Q148540	-1	-1	no
Q1067	P106	occupation	Q58968	intellectual	0	Q670152	Germanophile	0	-1	Q148540	-1	-1	no
Q107424	P106	occupation	Q486748	pianist	0	Q488205	singer-songwriter	0	-1	-1	-1	-1	no
Q107424	P106	occupation	Q639669	musician	0	Q488205	singer-songwriter	0	-1	-1	-1	-1	no
Q1274954	P106	occupation	Q1930187	journalist	0	Q2722764	radio personality	0	Q6581097	-1	-1	-1	no
Q17512078	P106	occupation	Q131512	farmer	0	Q131512	farmer	0	-1	-1	-1	-1	no
Q2150133	P106	occupation	Q16533	judge	0	Q883231	law clerk	0	-1	-1	-1	-1	no
Q231942	P106	occupation	Q486748	pianist	0	Q488205	singer-songwriter	0	-1	-1	-1	-1	no
Q231942	P106	occupation	Q753110	songwriter	0	Q488205	singer-songwriter	0	-1	-1	-1	-1	no
Q236370	P106	occupation	Q753110	songwriter	0	Q855091	guitarist	0	-1	Q262	-1	-1	no
Q236370	P106	occupation	Q855091	guitarist	0	Q855091	guitarist	0	-1	Q262	-1	-1	no
Q2713565	P106	occupation	Q483501	artist	0	Q266569	animator	0	Q6581097	-1	-1	-1	no
Q28791080	P106	occupation	Q42973	architect	0	Q42973	architect	0	-1	Q30	-1	-1	no
Q318462	P106	occupation	Q82955	politician	1	Q82955	politician	1	-1	Q174193	-1	-1	no
Q3242404	P106	occupation	Q2986228	sports commentator	0	Q1930187	journalist	0	-1	-1	-1	-1	no
Q4228038	P106	occupation	Q628099	association football manager	0	Q628099	association football manager	0	-1	Q22	-1	-1	no
Q44414	P106	occupation	Q3387717	theatrical director	0	Q266569	animator	0	Q6581097	Q30	-1	-1	no
Q44414	P106	occupation	Q822146	lyricist	0	Q266569	animator	0	Q6581097	Q30	-1	-1	no
Q44414	P106	occupation	Q639669	musician	0	Q266569	animator	0	Q6581097	Q30	-1	-1	no
Q4720002	P106	occupation	Q82955	politician	1	Q82955	politician	1	-1	-1	-1	-1	no
Q5267978	P106	occupation	Q482980	author	0	Q482980	author	0	-1	-1	-1	-1	no
Q5267978	P106	occupation	Q753110	songwriter	0	Q482980	author	0	-1	-1	-1	-1	no
Q5541005	P106	occupation	Q40348	lawyer	3	Q40348	lawyer	3	Q6581097	Q30	-1	-1	no
Q58793	P106	occupation	Q212980	psychologist	0	Q4773904	anthropologist	0	-1	-1	-1	-1	no
Q6780980	P106	occupation	Q16533	judge	0	Q883231	law clerk	0	-1	Q30	-1	-1	no
Q6850043	P106	occupation	Q188094	economist	0	Q188094	economist	0	Q6581097	-1	-1	-1	no
Q695938	P106	occupation	Q185351	jurist	0	Q169470	physicist	0	-1	-1	-1	-1	no
Q695938	P106	occupation	Q205375	inventor	0	Q169470	physicist	0	-1	-1	-1	-1	no
Q774923	P106	occupation	Q855091	guitarist	0	Q488205	singer-songwriter	0	Q6581097	Q30	-1	-1	no
Q774923	P106	occupation	Q488205	singer-songwriter	0	Q488205	singer-songwriter	0	Q6581097	Q30	-1	-1	no
Q7817666	P106	occupation	Q33231	photographer	0	Q883231	law clerk	0	-1	-1	-1	-1	no
Q7817666	P106	occupation	Q43845	businessperson	0	Q883231	law clerk	0	-1	-1	-1	-1	no
Q7825274	P106	occupation	Q81096	engineer	0	Q1568338	technical writer	0	Q6581097	-1	-1	-1	no
Q804182	P106	occupation	Q1930187	journalist	0	Q876864	contributing editor	0	-1	-1	-1	-1	no
Q835766	P106	occupation	Q6625963	novelist	7	Q6625963	novelist	7	-1	-1	-1	-1	no
Q971395	P106	occupation	Q82955	politician	1	Q82955	politician	1	-1	-1	-1	-1	no
